,LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Latitude,Longitude
260607,0002582777-0001-5,SAUL A PINZON,,13263 JUDD STREET,PACOIMA,91331-2424,13263 JUDD 91331-2424,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",7,01/01/2011,,"(34.2701, -118.4219)",34.2701,-118.4219
261731,0002662394-0001-9,M STREET COFFEE INC,,13251 MOORPARK STREET,SHERMAN OAKS,91423-3236,13251 MOORPARK 91423-3236,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,04/01/2012,,"(34.1503, -118.4217)",34.1503,-118.4217
261789,0003047276-0001-8,MACARON CHERI CA LLC,LE MACARON,541 S SPRING STREET   UNIT #127,LOS ANGELES,90013-1975,541 SPRING 90013-1975,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,04/09/2018,,"(34.0468, -118.251)",34.0468,-118.251
262390,0003147112-0001-5,MEGAN STINE GALAGAN,,3748   KEYSTONE AVENUE   UNIT #203,LOS ANGELES,90034-6314,3748 KEYSTONE 90034-6314,4762   FRANKLIN AVENUE,LOS ANGELES,90027-4214,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,01/01/2018,,"(34.0205, -118.4066)",34.0205,-118.4066
262483,0003095292-0001-4,MARIA ANGELICA AMADOR RODRIGUEZ,,1020 E OLYMPIC BLVD,LOS ANGELES,90021-1826,1020 OLYMPIC 90021-1826,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,01/16/2019,,"(34.0336, -118.2466)",34.0336,-118.2466
263214,0003096258-0001-4,URIEL RAMIREZ,,414 N WILMINGTON AVENUE,COMPTON,90220-1937,414 WILMINGTON 90220-1937,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,01/19/2019,,"(33.8991, -118.2375)",33.8991,-118.2375
263447,0002567762-0001-2,MIRR FOODS INC,CAPORAL FOODS,1495 MATEO STREET,LOS ANGELES,90021-2523,1495 MATEO 90021-2523,POST OFFICE BOX #21483,LOS ANGELES,90021-0483,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,07/21/2011,,"(34.0272, -118.2322)",34.0272,-118.2322
263525,0003093318-0001-6,MOTHERS MILK SOFT SERVICE LLC,,1943   RAMONA DRIVE,CAMARILLO,93010-8425,1943 RAMONA 93010-8425,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,02/15/2019,,"(34.2435, -119.085)",34.2435,-119.085
263925,0002363980-0023-8,STARBUCKS CORPORATION,STARBUCKS COFFEE #56002,14640   ROSCOE BLVD,PANORAMA CITY,91402-4105,14640 ROSCOE 91402-4105,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,06/27/2019,,"(34.221, -118.4511)",34.221,-118.4511
264067,0000477373-0003-6,HOUSE FOODS AMERICA CORPORATION,,7351 ORANGEWOOD AVENUE,GARDEN GROVE,92841-1411,7351 ORANGEWOOD 92841-1411,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,04/01/1997,,"(33.7955, -118.0055)",33.7955,-118.0055
264212,0002408916-0001-2,NOOSHEEN USA INC,,14364 OXNARD STREET,VAN NUYS,91401-3311,14364 OXNARD 91401-3311,5632 VAN NUYS BLVD #234,VAN NUYS,91401-4602,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,02/05/2009,,"(34.1793, -118.4456)",34.1793,-118.4456
264560,0003075544-0001-7,KENNY A BECERRA,CAFE ORGULLO CELESTE,5844 S OLIVE STREET,LOS ANGELES,90003-1179,5844 OLIVE 90003-1179,1324   CALUMET AVENUE   APT #303,LOS ANGELES,90026-5151,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,01/13/2018,,"(33.9884, -118.2792)",33.9884,-118.2792
264591,0003083413-0001-5,MARIA FERNANDA CORDOVA AGUILAR,LA PERA,10951 S MAIN STREET,LOS ANGELES,90061-2054,10951 MAIN 90061-2054,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",8,11/01/2018,,"(33.9364, -118.2741)",33.9364,-118.2741
264998,0002814448-0001-1,JOE & NEIGHBORS INC,,1540 S ST ANDREWS PLACE,LOS ANGELES,90019-4823,1540 ST ANDREWS 90019-4823,2426 W 8TH STREET #215,LOS ANGELES,90057-3872,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,02/24/2015,,"(34.0442, -118.3112)",34.0442,-118.3112
265330,0003025056-0001-7,CRISTIAN BAHENA,TRAVELER'S COFFEE CUP,8332   SEPULVEDA BLVD   #4,NORTH HILLS,91343-6564,8332 SEPULVEDA 91343-6564,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,01/08/2018,,"(34.2222, -118.4671)",34.2222,-118.4671
266683,0002744040-0001-5,MARCO SEPULVEDA,,227 S AVENUE 59 #20,LOS ANGELES,90042-4752,227 AVENUE 59 90042-4752,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1,11/01/2011,,"(34.1083, -118.1896)",34.1083,-118.1896
266765,0002598107-0001-1,LILIAN SANTIZO,EBENNEZER COMMUNICATION,2407 E CESAR E CHAVEZ AVENUE,LOS ANGELES,90033-3001,2407 CESAR E CHAVEZ 90033-3001,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,10/01/2010,,"(34.0466, -118.2074)",34.0466,-118.2074
266779,0002883452-0001-4,MIMT LLC,,9017   RESEDA BLVD   SUITE #200,NORTHRIDGE,91324-3994,9017 RESEDA 91324-3994,POST OFFICE BOX #8625,NORTHRIDGE,91327-8625,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",12,05/01/2014,,"(34.2342, -118.5367)",34.2342,-118.5367
266971,0002747681-0001-5,RAZA RICOS RASPADOS INC,TROPICAL FROSTY,14650 PARTHENIA STREET #A18-T15,PANORAMA CITY,91402-2917,14650 PARTHENIA 91402-2917,8348 DEERING AVENUE,CANOGA PARK,91304-2768,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,04/01/2014,,"(34.2279, -118.452)",34.2279,-118.452
267720,0002805131-0002-0,"MOVITA JUICE BAR, LLC",,19343   VICTORY BLVD,TARZANA,91335-6302,19343 VICTORY 91335-6302,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,01/07/2018,,"(34.1881, -118.5549)",34.1881,-118.5549
267776,0003021642-0001-5,COMMODITY LLC,NEON COFFEE,3206 W SUNSET BLVD,LOS ANGELES,90026-2116,3206 SUNSET 90026-2116,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13,11/28/2017,,"(34.0855, -118.275)",34.0855,-118.275
268282,0002693650-0001-7,MAGDALENA MEJIA JACINTO,,1538 E 83RD STREET,LOS ANGELES,90001-3906,1538 83RD 90001-3906,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,01/01/2013,,"(33.9633, -118.2467)",33.9633,-118.2467
268285,0000008207-0028-7,STARBUCKS CORPORATION,STARBUCKS COFFEE #22601,859 N HIGHLAND AVENUE,LOS ANGELES,90038-3416,859 HIGHLAND 90038-3416,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13,03/26/2015,,"(34.0863, -118.3385)",34.0863,-118.3385
268810,0003011729-0001-1,BILLYS COFFEE LLC,,902   PALMS BLVD,VENICE,90291-3853,902 PALMS 90291-3853,902   PALMS BLVD,VENICE,90291-3853,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,11/01/2017,,"(33.9954, -118.4598)",33.9954,-118.4598
269113,0003121062-0001-9,PAULINA LUNA,,2053   DALY STREET,LOS ANGELES,90031-3354,2053 DALY 90031-3354,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1,03/05/2019,,"(34.0691, -118.2158)",34.0691,-118.2158
269318,0003063323-0001-8,RSK RESTAURANTS LLC,UMAI SAVORY HOT DOGS,6600   TOPANGA CANYON BLVD   #1098A,CANOGA PARK,91303-2609,6600 TOPANGA CANYON 91303-2609,20480   CELTIC STREET,CHATSWORTH,91311-1703,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,07/02/2018,,"(34.1914, -118.6039)",34.1914,-118.6039
269322,0002788569-0001-9,TIFFANY CHANBOPHA LONG,ANNAS DONUTS #2,950 N AVALON BLVD   UNIT #102,WILMINGTON,90744-8508,950 AVALON 90744-8508,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",15,12/01/2014,,"(33.7825, -118.2622)",33.7825,-118.2622
269538,0002983898-0001-4,ARNOLD FARIASS,MUSCLE MARCOS,8600   INTERNATIONAL AVENUE   APT #253,CANOGA PARK,91304-2674,8600 INTERNATIONAL 91304-2674,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,05/15/2017,,"(34.2267, -118.5989)",34.2267,-118.5989
269691,0002866911-0001-5,FORTY PERCENT DISTRIBUTION & ENTERTAINMENT LLC,,7111 HAZELTINE AVENUE,VAN NUYS,91405-3246,7111 HAZELTINE 91405-3246,425 N ORCHARD DRIVE,BURBANK,91506-1948,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",2,11/09/2015,,"(34.1998, -118.4399)",34.1998,-118.4399
270186,0002627825-0002-8,VAHAGN NAZOYAN,,1041 N EDGEMONT STREET,LOS ANGELES,90029-2533,1041 EDGEMONT 90029-2533,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13,06/01/2013,,"(34.0899, -118.296)",34.0899,-118.296
271106,0002630114-0001-0,AGNESA SAHAKYAN,DEER FAMILY CATERING,13108 1/2 SHERMAN WAY,NORTH HOLLYWOOD,91605-4645,13108 SHERMAN 91605-4645,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",2,08/01/2012,,"(34.2012, -118.4184)",34.2012,-118.4184
271139,0002685601-0001-1,KAREN NAZARYAN,,3049   MONTROSE AVENUE   UNIT #39,LA CRESCENTA,91214-3678,3049 MONTROSE 91214-3678,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,06/06/2013,,"(34.2203, -118.246)",34.2203,-118.246
271536,0003135388-0001-3,HANENE NICOLETTI / VINCENT NICOLETTI,NICOLETTI  AND SONS FOOD COMPANY | NICOLETTI AND SONS FOOD CO,15719   VOSE STREET,VAN NUYS,91406-5154,15719 VOSE 91406-5154,15719   VOSE STREET,VAN NUYS,91406-5154,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,07/02/2019,,"(34.1987, -118.4759)",34.1987,-118.4759
272404,0000197657-0003-8,JSL FOODS INC,,1474 N INDIANA STREET,LOS ANGELES,90063-2518,1474 INDIANA 90063-2518,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,01/01/2012,,"(34.0576, -118.1925)",34.0576,-118.1925
272507,0002578001-0001-2,ABRAXAS LLC,WALLYS MARKET,1955 S SAN PEDRO STREET,LOS ANGELES,90011-1121,1955 SAN PEDRO 90011-1121,1955 S SAN PEDRO STREET,LOS ANGELES,90011-1121,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,09/19/2011,,"(34.0262, -118.2583)",34.0262,-118.2583
273037,0000155171-0004-5,STARBUCKS CORPORATION,STARBUCKS COFFEE #66065,8232 DE SOTO AVENUE,CANOGA PARK,91304-4342,8232 DE SOTO 91304-4342,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,06/03/2023,,"(34.2191, -118.588)",34.2191,-118.588
273282,0002629415-0001-8,SHARON RENAE STARKS,,5340 BLACKWELDER STREET APT #12,LOS ANGELES,90016-3741,5340 BLACKWELDER 90016-3741,2651 DALTON AVENUE APT #9,LOS ANGELES,90018-2766,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,08/03/2012,,"(34.0278, -118.3612)",34.0278,-118.3612
273727,0002724332-0001-2,BLUE BOTTLE COFFEE INC,BLUE BOTTLE COFFEE,1103 ABBOT KINNEY BLVD UNIT #1,VENICE,90291-3313,1103 ABBOT KINNEY 90291-3313,476   9TH STREET,OAKLAND,94607-4048,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,04/15/2014,,"(33.9918, -118.4706)",33.9918,-118.4706
273922,0000981009-0001-7,STRACQ INC,STRYKA BOTANICS,9142 OWENSMOUTH AVENUE,CHATSWORTH,91311-5851,9142 OWENSMOUTH 91311-5851,279 HOMESTEAD ROAD,HILLSBOROUGH,08844-1907,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",12,09/01/2003,,"(34.2356, -118.6018)",34.2356,-118.6018
273950,0003088044-0001-4,ASTHMATIC UNCLE'S CLUB LLC,ZAB'S,6020   SEABLUFF DRIVE   UNIT #440,PLAYA VISTA,90094-2269,6020 SEABLUFF 90094,6020   SEABLUFF DRIVE   UNIT #440,PLAYA VISTA,90094-2269,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,01/01/2019,,"(33.9736, -118.4222)",33.9736,-118.4222
274312,0003070922-0001-7,LAURA J RUBIO,LAURIS CANDY SHOP,4501 S ALAMEDA STREET,VERNON,90058-2010,4501 ALAMEDA 90058-2010,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,08/01/2018,,"(34.0024, -118.2406)",34.0024,-118.2406
274338,0002700992-0001-1,VILMA E SIBRIAN,AJUSTINA'S MINI MARKET & PARTY SUPPLY,6420 S BROADWAY,LOS ANGELES,90003-1454,6420 BROADWAY 90003-1454,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,08/15/2013,,"(33.9811, -118.2782)",33.9811,-118.2782
274432,0002765958-0001-9,FRANKIES FAVORITE CORP,,12041 WILSHIRE BLVD UNIT #10,LOS ANGELES,90025-1214,12041 WILSHIRE 90025-1214,11956 KIOWA AVENUE UNIT #3,LOS ANGELES,90049-5924,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,07/01/2014,,"(34.045, -118.4662)",34.045,-118.4662
274689,0002202513-0001-1,"FROZEN YOGURT OF VALLEY VILLAGE, INC.",,4849 LAUREL CANYON BLVD,VALLEY VILLAGE,91607-3747,4849 LAUREL CANYON 91607-3747,4849 LAUREL CANYON BLVD,VALLEY VILLAGE,91607-3747,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",2,11/27/2006,,"(34.1587, -118.3964)",34.1587,-118.3964
274822,0003085732-0001-7,"HEALTHY HAPPY FOODS, LLC.",,3731   WASATCH AVENUE   BUILDING #1001,LOS ANGELES,90066-3633,3731 WASATCH 90066,3731   WASATCH AVENUE   BUILDING #1001,LOS ANGELES,90066-3633,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,10/04/2018,,"(34.0046, -118.4371)",34.0046,-118.4371
275154,0003100920-0001-9,MARIA DOLORES HERNANDEZ,FRIDO'S SNACKS,3601 S WESTERN AVENUE   SUITE #A,LOS ANGELES,90018-3826,3601 WESTERN 90018-3826,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",8,01/03/2019,,"(34.0227, -118.3091)",34.0227,-118.3091
275203,0003120032-0001-1,CALIFORIA VEGAN CREPES LLC,,2318 S UNION AVENUE,LOS ANGELES,90007-1843,2318 UNION 90007-1843,1036 W 22ND STREET,LOS ANGELES,90007-1858,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1,05/01/2019,,"(34.0344, -118.2836)",34.0344,-118.2836
275636,0002634060-0001-1,EKE ENTERPRISE INC,COCO FRESH TEA & JUICE,11301 W OLYMPIC BLVD #105,LOS ANGELES,90064-1652,11301 OLYMPIC 90064-1652,1431   POTRERO AVENUE   SUITE #D,SOUTH EL MONTE,91733-3000,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,09/04/2012,,"(34.0381, -118.4412)",34.0381,-118.4412
276744,0000033378-0002-4,GARY M FERSTERER,GMF SECURITY AND INVESTIGATIONS,2351 VENUS DRIVE,LOS ANGELES,90046-1643,2351 VENUS 90046-1643,657   RAYMOND AVENUE,SANTA MONICA,90405-4522,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,01/01/2011,,"(34.1151, -118.3675)",34.1151,-118.3675
276913,0002436057-0001-2,H I & THAI CORP,USA DONUT,14900 BURBANK BLVD,SHERMAN OAKS,91411-3667,14900 BURBANK 91411-3667,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,04/01/2009,,"(34.1721, -118.4574)",34.1721,-118.4574
276930,0003030130-0001-1,SUNGILL SHIN,TF IN NORTH HILLS,9160   SEPULVEDA BLVD,NORTH HILLS,91343-3921,9160 SEPULVEDA 91343-3921,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",7,01/31/2018,,"(34.2371, -118.4667)",34.2371,-118.4667
277070,0002595951-0001-5,MANUEL GURROLA,AZTEC GOURMET FOOD,15455 CABRITO ROAD,VAN NUYS,91406-1407,15455 CABRITO 91406-1407,6436 BERTRAND AVENUE,RESEDA,91335-6222,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,01/23/2012,,"(34.2168, -118.4695)",34.2168,-118.4695
277390,0003113434-0001-8,ERNESTO I AVALOS FIGUEROA,,2922   7TH AVENUE,LOS ANGELES,90018-2924,2922 7TH 90018-2924,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,01/01/2018,,"(34.0284, -118.3244)",34.0284,-118.3244
277520,0002547926-0001-0,AMANDA MARIE MASON,THE RIGHTEOUS FRYERS,22727 BERDON STREET,WOODLAND HILLS,91367-4304,22727 BERDON 91367-4304,4793   ABARGO STREET,WOODLAND HILLS,91364-4518,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,03/15/2011,,"(34.171, -118.6217)",34.171,-118.6217
278123,0003012457-0001-6,CSI GROUP INC,KAFFEINATED CAFE,28440   HASKELL CANYON ROAD,SANTA CLARITA,91390-5203,28440 HASKELL CANYON 91390-5203,4955   EVERETT COURT,VERNON,90058-3115,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,10/17/2017,,"(34.4609, -118.5116)",34.4609,-118.5116
278456,0002978232-0001-6,BEATRIZ ACEVEDO,,2003   8TH,LOS ANGELES,90057-0000,2003 8TH 90057-0000,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1,03/01/2017,,"(34.0545, -118.2767)",34.0545,-118.2767
278542,0003102507-0001-5,CASA FOOD STORE INC,CASA FOOD MART,11885   FOOTHILL BLVD,SYLMAR,91342-7232,11885 FOOTHILL 91342-7232,1439   POST ROAD,FULLERTON,92833-2043,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",7,01/01/2019,,"(34.2749, -118.395)",34.2749,-118.395
278690,0003022443-0001-1,LAJJ ICE CREAM CORP,LA MICHOACANA VIP ICE CREAM PARLOR,15190   COBALT STREET,SYLMAR,91342-2722,15190 COBALT 91342-2722,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",7,01/01/2018,,"(34.3131, -118.4627)",34.3131,-118.4627
278863,0003072653-0001-2,TRIUMPHANT SNACKS INC,IM DIFFERENT,920 N FORMOSA AVENUE,LOS ANGELES,90046-6702,920 FORMOSA 90046-6702,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,05/03/2018,,"(34.0875, -118.3461)",34.0875,-118.3461
278893,0002949617-0001-2,CAROLINE WIRZ,GELE ICE POPS,4626   NATICK AVENUE   UNIT #10,SHERMAN OAKS,91403-2759,4626 NATICK 91403-2759,22216   HARTLAND STREET,CANOGA PARK,91303-2329,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,03/01/2016,,"(34.1551, -118.4538)",34.1551,-118.4538
279343,0003120015-0001-7,MOHAMMED MAHMUD,7-ELEVEN STORE 24198C,18519   VICTORY BLVD,RESEDA,91335-6440,18519 VICTORY 91335-6440,POST OFFICE BOX #219088,DALLAS,75221-9088,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,04/17/2019,,"(34.1868, -118.5366)",34.1868,-118.5366
281026,0003071697-0001-8,SACH FOOD STORES INC,7 ELEVEN STORE 38096A,5320 S VERMONT AVENUE,LOS ANGELES,90037-3530,5320 VERMONT 90037-3530,POST OFFICE BOX #219088,DALLAS,75221-9088,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,08/23/2018,,"(33.9939, -118.2914)",33.9939,-118.2914
281079,0003048708-0001-0,HERBALIFE NUTRITION,,3162 W PICO BLVD,LOS ANGELES,90019-4711,3162 PICO 90019-4711,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,04/12/2010,,"(34.0471, -118.3108)",34.0471,-118.3108
281426,0002619406-0001-2,MINDFUL MANGIA INC.,LOCALITA & THE BADASSERIE,817 S LOS ANGELES STREET FLOOR #3RD,LOS ANGELES,90014-3309,817 LOS ANGELES 90014-3309,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,06/04/2012,,"(34.0415, -118.2527)",34.0415,-118.2527
281636,0003205353-0001-6,KINGZ CUIZINE LLC,,21650 OXNARD STREET SUITE #350,WOODLAND HILLS,91367-7855,21650 Oxnard 91367-7855,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,07/07/2020,,"(34.1788, -118.601)",34.1788,-118.601
281646,0002358715-0001-8,HOUSE OF LIVING WATER INC,HOUSE OF LIVING WATER,11117 PALMS BLVD,LOS ANGELES,90034-6502,11117 PALMS 90034-6502,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,07/01/2008,,"(34.0197, -118.4213)",34.0197,-118.4213
282328,0002727730-0001-8,"EL VALLE OAXAQUENO, IMPORTS LLC","EL VALLE OAXAQUENO, IMPORTS",1601 S VERMONT AVENUE SUITE #102,LOS ANGELES,90006-4541,1601 VERMONT 90006-4541,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1,02/04/2014,,"(34.0442, -118.2915)",34.0442,-118.2915
282462,0002747133-0001-5,BONITA JEFFERSON,MADAME CAKES,7835 BRIGHTON AVENUE,LOS ANGELES,90047-2850,7835 BRIGHTON 90047-2850,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",8,01/01/2014,,"(33.9681, -118.3013)",33.9681,-118.3013
282775,0002439647-0001-0,SEANG PHENG,GO INN DONUTS,14562 NORDHOFF STREET,PANORAMA CITY,91402-1811,14562 NORDHOFF 91402-1811,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,06/01/2009,,"(34.2354, -118.4496)",34.2354,-118.4496
282860,0003115540-0001-6,SWEET TOOTH HOLDINGS INC.,,8391   BEVERLY BLVD   SUITE #419,LOS ANGELES,90048-2633,8391 BEVERLY 90048,8391   BEVERLY BLVD   SUITE #419,LOS ANGELES,90048-2633,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,03/14/2019,,"(34.0761, -118.3732)",34.0761,-118.3732
283814,0002644049-0001-1,MARIBEL KIRKHAM,BELL'S HOME BLEND,23221 MARIANO STREET,WOODLAND HILLS,91367-4138,23221 MARIANO 91367-4138,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,11/01/2012,,"(34.1682, -118.6324)",34.1682,-118.6324
283969,0002530027-0001-3,THINK IS GOOD INC,LOBSTA TRUCK,701 W CESAR E CHAVEZ AVENUE #300,LOS ANGELES,90012-2104,701 CESAR E CHAVEZ 90012-2104,POST OFFICE BOX #3332,SOUTH PASADENA,91031-6332,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1,11/15/2010,,"(34.0606, -118.2438)",34.0606,-118.2438
284221,0003051937-0001-8,HARUN HOLDINGS,,4336   DEGNAN BLVD,LOS ANGELES,90008-4909,4336 DEGNAN 90008-4909,4293   CREED AVENUE,LOS ANGELES,90008-4515,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,06/01/2018,,"(34.005, -118.3313)",34.005,-118.3313
284257,0003061260-0001-6,ACTIV8 JUICE LLC,,822 S ROBERTSON BLVD   #102,LOS ANGELES,90035-1613,822 ROBERTSON 90035-1613,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,02/08/2018,,"(34.062, -118.3832)",34.062,-118.3832
284441,0003103087-0001-1,GABRIELA MONCON,TACOS,633   IMOGEN AVENUE,LOS ANGELES,90026-3510,633 IMOGEN 90026-3510,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13,02/11/2019,,"(34.0816, -118.284)",34.0816,-118.284
284536,0003373392-0001-1,BELEN A. ROMERO,BELEN'S JUICE BAR,3963 MELROSE AVENUE UNIT #1,LOS ANGELES,90029-3679,3963 Melrose 90029-3679,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13,05/08/2023,,"(34.0839, -118.286)",34.0839,-118.286
284927,0002630801-0001-0,SAMUEL FLORES DOMINIGUEZ / ALMA FLORES,MARISCOS GUAYABITOS #2,18073   ANNES CIRCLE   UNIT #104,CANYON COUNTRY,91387-6475,18073 ANNES 91387-6475,15740   ROXFORD STREET,SYLMAR,91342-3532,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,07/30/2012,,"(34.4121, -118.4522)",34.4121,-118.4522
285114,0002596348-0001-1,CONRAD DA VINCI LUMAS,CONRAD'S CATERING,4204 SANTO TOMAS DRIVE APT #A,LOS ANGELES,90008-3146,4204 SANTO TOMAS 90008-3146,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",8,01/25/2012,,"(34.0103, -118.3456)",34.0103,-118.3456
285268,0003115125-0001-9,JENNIFER GARCIA,JENNI'S MARISCOS,5112 S MAIN STREET,LOS ANGELES,90037-3840,5112 MAIN 90037-3840,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,01/01/2018,,"(33.9962, -118.2738)",33.9962,-118.2738
285270,0002562574-0002-1,"HAENGBOKHAN-AJ, INC",MISS COFFEE,300 S HOBART BLVD   UNIT #101,LOS ANGELES,90020-3600,300 HOBART 90020-3600,3183   WILSHIRE BLVD   UNIT #414,LOS ANGELES,90010-1212,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,08/15/2016,,"(34.0686, -118.305)",34.0686,-118.305
285418,0003019579-0001-1,EQUATROPICS INC,,23740   HATTERAS STREET,WOODLAND HILLS,91367-4027,23740 HATTERAS 91367-4027,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,12/01/2017,,"(34.1751, -118.6446)",34.1751,-118.6446
285804,0002801673-0001-7,OAK CREEK MANAGEMENT LLC,,21328 HART STREET,CANOGA PARK,91303-2129,21328 HART 91303,701   DEL NORTE BLVD   SUITE #145,OXNARD,93030-7976,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,01/15/2015,,"(34.1973, -118.5957)",34.1973,-118.5957
